,close,high,low,open,date
2022-01-03,399.927,400.357,378.68,382.583,2022-01-03
2022-01-04,383.197,402.667,374.35,396.517,2022-01-04
2022-01-05,362.707,390.113,360.337,382.217,2022-01-05
2022-01-06,354.9,362.667,340.167,359,2022-01-06
2022-01-07,342.32,360.31,336.667,360.123,2022-01-07
2022-01-10,352.707,353.033,326.667,333.333,2022-01-10
2022-01-11,354.8,358.617,346.273,351.223,2022-01-11
2022-01-12,368.74,371.613,357.53,359.617,2022-01-12
2022-01-13,343.853,371.867,342.18,369.688,2022-01-13
2022-01-14,349.87,350.667,337.793,339.96,2022-01-14
2022-01-18,343.503,356.93,338.687,342.202,2022-01-18
2022-01-19,331.883,351.557,331.667,347.235,2022-01-19
2022-01-20,332.09,347.22,331.333,336.577,2022-01-20
2022-01-21,314.633,334.85,313.5,332.113,2022-01-21
2022-01-24,310,311.171,283.823,301.587,2022-01-24
2022-01-25,306.133,317.087,301.07,304.733,2022-01-25
2022-01-26,312.47,329.23,302,317.477,2022-01-26
2022-01-27,276.367,311.797,276.333,311.12,2022-01-27
2022-01-28,282.117,285.833,264.003,277.187,2022-01-28
2022-01-31,312.24,312.663,287.35,290.903,2022-01-31
2022-02-01,310.417,314.567,301.667,311.737,2022-02-01
2022-02-02,301.887,310.5,296.47,309.393,2022-02-02
2022-02-03,297.047,312.333,293.507,294,2022-02-03
2022-02-04,307.773,312.167,293.723,299.073,2022-02-04
2022-02-07,302.447,315.923,300.903,307.93,2022-02-07
2022-02-08,307.333,308.763,298.267,301.843,2022-02-08
2022-02-09,310.667,315.423,306.667,311.667,2022-02-09
2022-02-10,301.517,314.603,298.9,302.79,2022-02-10
2022-02-11,286.667,305.32,283.567,303.21,2022-02-11
2022-02-14,291.92,299.627,284.383,287.19,2022-02-14
2022-02-15,307.477,307.667,297.793,300,2022-02-15
2022-02-16,307.797,308.81,300.403,304.683,2022-02-16
2022-02-17,292.117,306.167,291.367,304.42,2022-02-17
2022-02-18,285.66,295.623,279.203,295.333,2022-02-18
2022-02-22,273.843,285.578,267.033,278.043,2022-02-22
2022-02-23,254.68,278.433,253.52,276.81,2022-02-23
2022-02-24,266.923,267.493,233.333,233.463,2022-02-24
2022-02-25,269.957,273.167,260.8,269.743,2022-02-25
2022-02-28,290.143,292.287,271.569,271.67,2022-02-28
2022-03-01,288.123,296.627,284.593,289.893,2022-03-01
2022-03-02,293.297,295.493,281.424,290.71,2022-03-02
2022-03-03,279.763,295.48,277.533,292.923,2022-03-03
2022-03-04,279.43,285.217,275.054,283.033,2022-03-04
2022-03-07,268.193,288.713,268.19,285.433,2022-03-07
2022-03-08,274.8,283.33,260.723,265.177,2022-03-08
2022-03-09,286.323,286.853,277.337,279.827,2022-03-09
2022-03-10,279.433,284.817,270.12,283.817,2022-03-10
2022-03-11,265.117,281.267,264.59,280.066,2022-03-11
2022-03-14,255.457,266.9,252.013,260.203,2022-03-14
2022-03-15,267.297,268.523,252.19,258.423,2022-03-15
2022-03-16,280.077,280.667,267.42,269.667,2022-03-16
2022-03-17,290.533,291.667,275.239,276.997,2022-03-17
2022-03-18,301.797,302.617,289.13,291.497,2022-03-18
